cohort,kind,support,n_cols,divergence
ovarian,real,305,99,2.7516910627300484
ovarian,real,297,107,1.2341605782150156
ovarian,real,293,104,3.2750150108757503
ovarian,real,292,112,2.587455014432174
ovarian,real,277,108,2.246940121108974
ovarian,real,275,102,3.5351721736574433
ovarian,real,270,96,2.9309355588079367
ovarian,real,247,105,2.469944726291445
ovarian,real,232,101,3.308972788529089
ovarian,real,221,101,2.148714441969351
ovarian,real,213,102,3.0195787105853715
ovarian,real,212,110,2.986259059546725
ovarian,real,212,104,2.493302024057717
ovarian,real,196,108,1.8830368880904698
ovarian,real,191,100,2.8261211741373016
ovarian,real,190,113,1.4204773423133494
ovarian,real,185,107,1.9216421833407051
ovarian,null,2035,99,1.9542190430743858
ovarian,null,1943,98,2.1692664905243686
ovarian,null,1797,107,1.8711940271787182
ovarian,null,1642,106,3.4058573473056906
ovarian,null,1538,104,2.656786869599649
ovarian,null,1440,100,3.020992588664918
ovarian,null,1321,112,3.2289674462006768
ovarian,null,1175,99,3.094606162089265
ovarian,null,1007,103,2.8243426959376303
ovarian,null,892,105,3.7162946490837045
ovarian,null,840,111,3.575423167821572
ovarian,null,776,108,3.8426381382513064
ovarian,null,635,107,3.8953224525400647
ovarian,null,588,14,1.446541800240118
ovarian,null,545,104,3.760297955678003
ovarian,null,516,104,3.204901486883113
ovarian,null,508,113,3.462605703545761
ovarian,null,450,103,3.170771562930378
ovarian,null,445,103,3.1979246746521057
ovarian,null,416,17,2.8342811616072465
ovarian,null,362,111,1.7678316399940188
ovarian,null,337,100,2.703554532617008
ovarian,null,317,109,2.2232428717052697
ovarian,null,305,99,2.0395002978511534
ovarian,null,297,107,2.005463611582767
ovarian,null,293,104,2.4808248591762445
ovarian,null,292,112,2.163933707278571
ovarian,null,277,108,3.175312870538456
ovarian,null,275,102,2.897493604426543
ovarian,null,270,96,2.813707560316934
ovarian,null,247,105,2.305069208618139
ovarian,null,232,101,2.0743818371090823
ovarian,null,221,101,2.2527191141916405
ovarian,null,213,102,1.748470975175304
ovarian,null,212,110,2.4884779924717173
ovarian,null,212,104,2.1293141398502944
ovarian,null,196,108,1.6975309021215779
ovarian,null,191,100,1.9624401176167148
ovarian,null,190,113,2.0374547737317994
ovarian,null,185,107,1.3649220981579286
prostate,real,2180,79,1.6101779314395512
prostate,real,2107,85,2.2224370416868977
prostate,real,1710,80,2.363208560954092
prostate,real,1634,74,2.7708137485314523
prostate,real,1014,13,0.9052059570228038
prostate,real,997,80,1.3977764175700624
prostate,real,966,80,2.0347264645347667
prostate,real,964,86,2.6632880422601835
prostate,real,925,86,1.8661144823438085
prostate,real,699,75,2.732409816830219
prostate,real,643,78,2.346357746219061
prostate,real,640,75,2.2547162267887733
prostate,real,627,84,2.826311591265121
prostate,real,611,78,1.9778866026439188
prostate,real,594,81,2.5237982263138354
prostate,real,580,81,3.1916104559436946
prostate,real,561,84,3.5101490302321645
prostate,real,468,79,3.6259174028909813
prostate,real,446,73,2.5221394241456165
prostate,real,420,16,1.579469465744189
prostate,real,419,81,2.772262646868918
prostate,real,380,81,2.867912258018058
prostate,real,352,87,2.9288761863757733
prostate,real,348,80,2.9761333791589206
prostate,real,346,86,3.242231105566447
prostate,real,340,87,2.8603028045312726
prostate,real,320,81,3.034980095036301
prostate,real,315,79,3.7345746957245565
prostate,real,301,75,2.967904151847251
prostate,real,298,85,2.496992763875447
prostate,real,262,82,2.984050754216813
prostate,real,259,79,2.2074690351291744
prostate,real,259,85,3.4347388099951806
prostate,real,250,76,3.107176379285395
prostate,real,245,79,3.5193862459821887
prostate,real,237,85,1.8565027427813627
prostate,real,217,76,3.3685703995924365
prostate,real,209,74,2.439486001620312
prostate,real,209,85,3.454398302238732
prostate,real,206,80,3.104670411386494
prostate,null,2180,79,1.70974444418237
prostate,null,2107,85,1.9221726755278887
prostate,null,1710,80,1.6177665986013896
prostate,null,1634,74,2.1841484373526368
prostate,null,1014,13,0.8718017428822771
prostate,null,997,80,2.1969139842587277
prostate,null,966,80,2.769741894202032
prostate,null,964,86,2.416072983386576
prostate,null,925,86,2.654134433702393
prostate,null,699,75,2.603734931179649
prostate,null,643,78,2.8101154145913094
prostate,null,640,75,2.6422874679546697
prostate,null,627,84,2.6703526440155474
prostate,null,611,78,3.7668393865051426
prostate,null,594,81,2.5704087769776067
prostate,null,580,81,2.733133523586187
prostate,null,561,84,3.0836487711236784
prostate,null,468,79,3.3522097576861887
prostate,null,446,73,3.737662649916608
prostate,null,420,16,2.196248736013267
prostate,null,419,81,4.130201884151619
prostate,null,380,81,3.258207892650215
prostate,null,352,87,3.298827690635604
prostate,null,348,80,3.829652961276881
prostate,null,346,86,3.5030119052742292
prostate,null,340,87,3.1859173753866976
prostate,null,320,81,3.070449811761286
prostate,null,315,79,3.2770512494170534
prostate,null,301,75,3.2922623765073005
prostate,null,298,85,2.942037665554408
prostate,null,262,82,3.759319161443618
prostate,null,259,79,2.8828791041802084
prostate,null,259,85,2.96873423955063
prostate,null,250,76,2.9446052578800317
prostate,null,245,79,3.3047079049507775
prostate,null,237,85,3.5875118945016307
prostate,null,217,76,3.1270877504217456
prostate,null,209,85,3.047488463737885
prostate,null,209,74,2.6909741228333672
prostate,null,206,80,3.470161523221414
mimic4,real,4568,25,1.2705445560284512
mimic4,real,3996,29,1.2670114241205839
mimic4,real,3012,32,1.6082139039755265
mimic4,real,2642,28,0.9826235450591585
mimic4,real,2295,39,1.7561546517259896
mimic4,real,2261,38,1.3097904036715098
mimic4,real,1868,22,1.4592278579244444
mimic4,real,1681,35,1.3564438759783237
mimic4,real,1446,42,1.6570161811511792
mimic4,real,1287,39,1.9828596244535526
mimic4,real,1107,38,0.944926340291947
mimic4,real,1095,34,1.0398477002172701
mimic4,real,1002,33,2.1578380215923705
mimic4,real,921,26,1.7032625184767494
mimic4,real,882,35,1.1198231302843134
mimic4,real,793,39,1.371990954442067
mimic4,real,769,34,1.977496665927656
mimic4,real,724,32,2.037822524232032
mimic4,real,722,36,1.4278984514828392
mimic4,real,721,2,0.90015995407501
mimic4,real,704,41,1.5249226950189292
mimic4,real,696,29,1.2203107816206922
mimic4,real,674,31,1.5577471956884053
mimic4,real,646,38,1.6591589859518703
mimic4,real,608,33,1.3578933782445912
mimic4,real,601,35,1.248704983140213
mimic4,real,594,36,1.686569751541614
mimic4,real,581,40,1.5686652800131495
mimic4,real,578,26,1.6084482147002546
mimic4,real,577,35,1.500519103260017
