dataset,site,n_site,panel,base_rate,n_panels,pooled_on_site,within_site,values_on_site
cand_eicu_regime,7,1066,6,0.29174484052532834,30,0.9990651817465557,0.9975618066054812,0.48809224675794816
cand_eicu_regime,10,499,6,0.026052104208416832,30,1.0,0.8376068376068375,0.6079455523899968
cand_eicu_regime,14,569,6,0.070298769771529,30,1.0,0.9951323251417769,0.4993620037807184
cand_eicu_regime,19,942,6,0.06157112526539278,30,0.9999024808862538,1.0,0.5455316742081449
cand_eicu_regime,21,765,6,0.08366013071895424,30,1.0,0.9955086483594864,0.48227977888730383
cand_eicu_regime,24,551,6,0.09437386569872959,30,1.0,0.9380877138893171,0.44425389240018504
cand_eicu_regime,26,758,6,0.08970976253298153,30,0.9940323955669224,0.8272804774083546,0.5363064791133844
cand_eicu_regime,28,631,6,0.12361331220285261,30,1.0,0.9976005007650577,0.46216441786062046
cand_eicu_regime,30,926,6,0.035637149028077755,30,0.9381383827072517,0.852930197835013,0.39869014897010424
cand_eicu_regime,34,1127,6,0.19520851818988466,30,0.9922797434098427,0.9914277839029768,0.5250325749223214
cand_eicu_regime,42,1296,6,0.16358024691358025,30,0.9951372450045255,0.9922913910742881,0.5160764638306761
cand_eicu_regime,45,599,6,0.10517529215358931,30,0.9998519308220801,0.9723554844823502,0.49800106609808104
cand_eicu_regime,46,1124,6,0.10053380782918149,30,0.9979035914673109,0.9981136699841565,0.4757709443904659
cand_eicu_regime,49,1878,6,0.07667731629392971,30,0.9976291170062797,0.9999519415609381,0.5445221389209278
cand_eicu_regime,58,880,6,0.14431818181818182,30,0.9984942121278666,0.9960629921259843,0.5445775951312859
cand_eicu_regime,60,644,6,0.03260869565217391,30,1.0,0.7568600473897424,0.47703126194297946
cand_eicu_regime,61,629,6,0.06995230524642289,30,1.0,0.9672688422688422,0.6031274281274281
cand_eicu_regime,68,1160,6,0.15172413793103448,30,0.999838322246859,0.9999538063562454,0.5021335689209164
cand_eicu_regime,72,552,6,0.08876811594202899,30,0.9982350793199983,0.8446058343814663,0.5084391609526514
cand_eicu_regime,81,649,6,0.046224961479198766,30,1.0,0.8377490576198171,0.47864835756596663
cand_eicu_regime,83,547,6,0.051188299817184646,30,1.0,0.969309110927608,0.46838012661712086
cand_eicu_regime,86,623,6,0.43980738362760835,30,0.868288959069709,0.7824284190492126,0.5204651454625311
cand_eicu_regime,87,575,6,0.4504347826086956,30,0.9145203069253702,0.9130113386442501,0.5184436244562828
cand_eicu_regime,88,673,6,0.041604754829123326,30,0.9781007751937985,0.8704042081949059,0.5762735326688815
cand_eicu_regime,89,665,6,0.28721804511278193,30,1.0,1.0,0.5086762984072282
cand_eicu_regime,90,1593,6,0.025109855618330193,30,1.0,0.834835801674179,0.4739294913071475
cand_eicu_regime,94,1239,6,0.03066989507667474,30,1.0,0.9758972785836364,0.4277466146632193
cand_eicu_regime,96,759,6,0.07509881422924901,30,0.9979507172489628,0.9512795521567451,0.4811565951916829
cand_eicu_regime,98,1228,6,0.07654723127035831,30,1.0,0.9946808510638299,0.5555180306953356
cand_eicu_regime,POOLED,47701,7,0.10817383283369321,30,0.9982422019141042,nan,0.5148320821919357
cand_eicu_regime,3,2230,7,0.07219730941704036,30,1.0,1.0,0.5106691803583812
cand_eicu_regime,6,619,7,0.531502423263328,30,1.0,1.0,0.5158840792369772
cand_eicu_regime,7,1066,7,0.30393996247654786,30,0.9990183354963229,0.9979784366576819,0.4894491863831486
cand_eicu_regime,10,499,7,0.026052104208416832,30,1.0,0.8376068376068375,0.5496992719214941
cand_eicu_regime,14,569,7,0.07381370826010544,30,0.9867624469142496,0.9910318966296197,0.5014909189482244
cand_eicu_regime,19,942,7,0.06263269639065817,30,0.9800180432654471,0.9816112252145038,0.5336007831545003
cand_eicu_regime,21,765,7,0.08627450980392157,30,0.9952204447912603,0.9741405471019207,0.4710083669311137
cand_eicu_regime,24,551,7,0.09437386569872959,30,1.0,0.9367003237243718,0.4817519654694003
cand_eicu_regime,26,758,7,0.09234828496042216,30,1.0,0.8609946013289036,0.5329734219269103
cand_eicu_regime,28,631,7,0.12361331220285261,30,0.9999999999999999,0.9976005007650577,0.4568669726897575
cand_eicu_regime,30,926,7,0.0367170626349892,30,0.995054075441836,0.9599380110788709,0.3815945660775521
cand_eicu_regime,34,1127,7,0.19165927240461403,30,1.0,1.0,0.5318331503841931
cand_eicu_regime,42,1296,7,0.16126543209876543,30,1.0,1.0,0.5105245550943512
cand_eicu_regime,45,599,7,0.11018363939899833,30,1.0,0.9741173460685657,0.4987065779748707
cand_eicu_regime,46,1124,7,0.11921708185053381,30,1.0,1.0,0.5071159354741444
cand_eicu_regime,49,1878,7,0.07561235356762513,30,1.0,1.0,0.5382983384176024
cand_eicu_regime,58,880,7,0.1431818181818182,30,0.9999999999999999,0.9993368700265253,0.5273725316828765
cand_eicu_regime,60,644,7,0.03260869565217391,30,1.0,0.7568600473897424,0.47236872277000685
cand_eicu_regime,61,629,7,0.06995230524642289,30,1.0,0.9666860916860917,0.646095571095571
cand_eicu_regime,68,1160,7,0.15086206896551724,30,1.0,1.0,0.5044583031182015
cand_eicu_regime,72,552,7,0.09782608695652174,30,1.0,0.8412910902870742,0.49646735088502164
cand_eicu_regime,81,649,7,0.04468412942989214,30,0.9996106785317019,0.8401835372636263,0.44179644048943273
cand_eicu_regime,83,547,7,0.051188299817184646,30,1.0,0.969309110927608,0.4651458849435728
cand_eicu_regime,86,623,7,0.13804173354735153,30,1.0,0.9481074877657962,0.5066476116235762
cand_eicu_regime,87,575,7,0.19478260869565217,30,0.9909267972847887,0.9944558006788029,0.5127950478247454
cand_eicu_regime,88,673,7,0.04011887072808321,30,0.9930627221648893,0.8974314872147687,0.6029698429079232
cand_eicu_regime,89,665,7,0.28721804511278193,30,1.0,1.0,0.5124097024322354
