dataset,site,n_site,panel,base_rate,n_panels,pooled_on_site,within_site,values_on_site
cand_mimic4_regime,2,6957,13,0.8009199367543481,22,0.8645447453875879,0.8660452209474396,0.5182684308598174
cand_mimic4_regime,3,5280,13,0.8668560606060606,22,0.8703690696664719,0.869346578274513,0.49673144620996007
cand_mimic4_regime,4,2257,13,0.9641116526362428,22,0.9690620461147422,0.882996890885984,0.5623042619825708
cand_mimic4_regime,6,690,13,0.8884057971014493,22,0.9433698438592403,0.8348657867418064,0.5131670939175017
cand_mimic4_regime,7,4555,13,0.8057080131723381,22,0.9452143659846981,0.9457853415231146,0.5318448559860834
cand_mimic4_regime,8,3510,13,0.7572649572649572,22,0.9118395789838101,0.9115847896508724,0.4848861793787556
cand_mimic4_regime,POOLED,33531,14,0.717216903760699,22,0.9045842643441473,nan,0.5893982916952698
cand_mimic4_regime,0,5976,14,0.249665327978581,22,0.8225146813334513,0.8465363442971494,0.5369595320149331
cand_mimic4_regime,1,3819,14,0.7030636292223095,22,0.8677887473356127,0.8774682326203121,0.5470676138584271
cand_mimic4_regime,2,6957,14,0.7605289636337502,22,0.8393764990403647,0.8436017196521399,0.5168822773864791
cand_mimic4_regime,3,5280,14,0.8321969696969697,22,0.8378940706134262,0.8359858148449918,0.5375104929665017
cand_mimic4_regime,4,2257,14,0.9809481612760301,22,0.9655521942816327,0.9473435432028738,0.56134850108191
cand_mimic4_regime,6,690,14,0.9405797101449276,22,0.823649892893382,0.7656995753316548,0.49862828366342216
cand_mimic4_regime,7,4555,14,0.8456641053787047,22,0.8847789624351355,0.8882302740517202,0.5561185262980639
cand_mimic4_regime,8,3510,14,0.852991452991453,22,0.8562557932402273,0.8593711971747112,0.48628587925204414
cand_mimic4_regime,POOLED,33531,15,0.5465688467388387,22,0.7614220397181909,nan,0.5319119479274228
cand_mimic4_regime,0,5976,15,0.8025435073627845,22,0.8016315679733113,0.8153515994967557,0.5169012665922167
cand_mimic4_regime,1,3819,15,0.44069128043990574,22,0.7535663141661159,0.7682769254563703,0.5404740008589974
cand_mimic4_regime,2,6957,15,0.3865171769440851,22,0.7144623275150279,0.7387639269710364,0.5640830182879119
cand_mimic4_regime,3,5280,15,0.38238636363636364,22,0.707220609970384,0.7185148024159931,0.5167068172812133
cand_mimic4_regime,4,2257,15,0.6823216659282233,22,0.6575657954319042,0.6491151804959338,0.4617218207176365
cand_mimic4_regime,6,690,15,0.4753623188405797,22,0.5802873601940439,0.5532399609217087,0.50723874814715
cand_mimic4_regime,7,4555,15,0.5740944017563118,22,0.712660207762512,0.7416606217105911,0.5235941534761782
cand_mimic4_regime,8,3510,15,0.6487179487179487,22,0.6975885659372382,0.7033371908014878,0.5205259691666123
cand_mimic4_regime,POOLED,33531,16,0.5583489904864155,22,0.976612096821018,nan,0.5648103459231828
cand_mimic4_regime,0,5976,16,0.16315261044176707,22,0.984860976522644,0.9858881557021929,0.5752038310286661
cand_mimic4_regime,1,3819,16,0.7242733699921445,22,0.9794085898568906,0.9796044630944608,0.5372830373432929
cand_mimic4_regime,2,6957,16,0.5802788558286618,22,0.9573434599814727,0.9562793305757362,0.5298215394586377
cand_mimic4_regime,3,5280,16,0.7102272727272727,22,0.9541012636165578,0.9547312418300654,0.5149640958605665
